game_name,card_title,description,tags,figure_name,power,suit,rank,extra_notes
Skat,7 of Acorns,N/A,N/A,N/A,N/A,Acorns,7,N/A
Skat,8 of Acorns,N/A,N/A,N/A,N/A,Acorns,8,N/A
Skat,9 of Acorns,N/A,N/A,N/A,N/A,Acorns,9,N/A
Skat,10 of Acorns,N/A,N/A,N/A,N/A,Acorns,10,N/A
Skat,Unter of Acorns,N/A,Face Card,Unter,N/A,Acorns,U,N/A
Skat,Ober of Acorns,N/A,Face Card,Ober,N/A,Acorns,O,N/A
Skat,King of Acorns,N/A,Face Card,King,N/A,Acorns,K,N/A
Skat,Ace of Acorns,N/A,N/A,Ace,N/A,Acorns,A,N/A
Skat,7 of Leaves,N/A,N/A,N/A,N/A,Leaves,7,N/A
Skat,8 of Leaves,N/A,N/A,N/A,N/A,Leaves,8,N/A
Skat,9 of Leaves,N/A,N/A,N/A,N/A,Leaves,9,N/A
Skat,10 of Leaves,N/A,N/A,N/A,N/A,Leaves,10,N/A
Skat,Unter of Leaves,N/A,Face Card,Unter,N/A,Leaves,U,N/A
Skat,Ober of Leaves,N/A,Face Card,Ober,N/A,Leaves,O,N/A
Skat,King of Leaves,N/A,Face Card,King,N/A,Leaves,K,N/A
Skat,Ace of Leaves,N/A,N/A,Ace,N/A,Leaves,A,N/A
Skat,7 of Hearts,N/A,N/A,N/A,N/A,Hearts,7,N/A
Skat,8 of Hearts,N/A,N/A,N/A,N/A,Hearts,8,N/A
Skat,9 of Hearts,N/A,N/A,N/A,N/A,Hearts,9,N/A
Skat,10 of Hearts,N/A,N/A,N/A,N/A,Hearts,10,N/A
Skat,Unter of Hearts,N/A,Face Card,Unter,N/A,Hearts,U,N/A
Skat,Ober of Hearts,N/A,Face Card,Ober,N/A,Hearts,O,N/A
Skat,King of Hearts,N/A,Face Card,King,N/A,Hearts,K,N/A
Skat,Ace of Hearts,N/A,N/A,Ace,N/A,Hearts,A,N/A
Skat,7 of Bells,N/A,N/A,N/A,N/A,Bells,7,N/A
Skat,8 of Bells,N/A,N/A,N/A,N/A,Bells,8,N/A
Skat,9 of Bells,N/A,N/A,N/A,N/A,Bells,9,N/A
Skat,10 of Bells,N/A,N/A,N/A,N/A,Bells,10,N/A
Skat,Unter of Bells,N/A,Face Card,Unter,N/A,Bells,U,N/A
Skat,Ober of Bells,N/A,Face Card,Ober,N/A,Bells,O,N/A
Skat,King of Bells,N/A,Face Card,King,N/A,Bells,K,N/A
Skat,Ace of Bells,N/A,N/A,Ace,N/A,Bells,A,N/A
French Tarot,Ace of Hearts,N/A,N/A,Ace,N/A,Hearts,1,N/A
French Tarot,2 of Hearts,N/A,N/A,N/A,N/A,Hearts,2,N/A
French Tarot,10 of Hearts,N/A,N/A,N/A,N/A,Hearts,10,N/A
French Tarot,Jack of Hearts,N/A,Face Card,Jack,N/A,Hearts,J,N/A
French Tarot,Knight of Hearts,N/A,Face Card,Knight,N/A,Hearts,Kn,N/A
French Tarot,Queen of Hearts,N/A,Face Card,Queen,N/A,Hearts,Q,N/A
French Tarot,King of Hearts,N/A,Face Card,King,N/A,Hearts,K,N/A
French Tarot,Ace of Spades,N/A,N/A,Ace,N/A,Spades,1,N/A
French Tarot,Jack of Spades,N/A,Face Card,Jack,N/A,Spades,J,N/A
French Tarot,Knight of Spades,N/A,Face Card,Knight,N/A,Spades,Kn,N/A
French Tarot,Trump I,Represents beginning or initiation,Trump,N/A,N/A,Trump,1,Major Arcana
French Tarot,Trump II,Symbol of wisdom and secrets,Trump,N/A,N/A,Trump,2,Major Arcana
French Tarot,Trump XXI,Represents completion,Trump,N/A,N/A,Trump,21,Major Arcana
French Tarot,The Fool,Excuse card,Wild,N/A,N/A,N/A,N/A,Excuse or Fool card in Tarot
French Tarot,Ace of Diamonds,N/A,N/A,Ace,N/A,Diamonds,1,N/A
French Tarot,Knight of Diamonds,N/A,Face Card,Knight,N/A,Diamonds,Kn,N/A
French Tarot,Queen of Diamonds,N/A,Face Card,Queen,N/A,Diamonds,Q,N/A
French Tarot,King of Diamonds,N/A,Face Card,King,N/A,Diamonds,K,N/A
French Tarot,Ace of Clubs,N/A,N/A,Ace,N/A,Clubs,1,N/A
French Tarot,Knight of Clubs,N/A,Face Card,Knight,N/A,Clubs,Kn,N/A
Magic: The Gathering,Llanowar Elves,"{T}: Add {G}.",Creature,Elf Druid,1/1,N/A,N/A,Green mana ramp
Magic: The Gathering,Lightning Bolt,"Lightning Bolt deals 3 damage to any target.",Instant,Spell,N/A,N/A,N/A,Classic red burn
Magic: The Gathering,Serra Angel,"Flying, vigilance",Creature,Angel,4/4,N/A,N/A,White midrange staple
Magic: The Gathering,Counterspell,"Counter target spell.",Instant,Spell,N/A,N/A,N/A,Classic blue control
Magic: The Gathering,Shivan Dragon,"Flying. {R}: Shivan Dragon gets +1/+0 until end of turn.",Creature,Dragon,5/5,N/A,N/A,Iconic red finisher
Magic: The Gathering,Black Lotus,"{T}, Sacrifice Black Lotus: Add three mana of any one color.",Artifact,Artifact,N/A,N/A,N/A,Power Nine
Magic: The Gathering,Forest,N/A,Land,Basic Land,N/A,N/A,N/A,Green mana source
Magic: The Gathering,Swamp,N/A,Land,Basic Land,N/A,N/A,N/A,Black mana source
Magic: The Gathering,Jace, the Mind Sculptor,"+2: Look at the top card of target player's library. You may put that card on the bottom of that player's library. 0: Draw three cards, then put two cards from your hand on top of your library in any order. -1: Return target creature to its owner's hand. -12: Exile all cards from target player's library, then that player shuffles their hand into their library.",Planeswalker,Jace,4,N/A,N/A,Iconic blue planeswalker
Magic: The Gathering,Giant Growth,"Target creature gets +3/+3 until end of turn.",Instant,Spell,N/A,N/A,N/A,Green combat trick
Pokémon TCG,Pikachu,"Electric attack: 30 damage. Ability: Static may paralyze opponent.",Basic Pokémon,Mouse Pokémon,60 HP,N/A,N/A,Iconic Electric-type
Pokémon TCG,Charizard,"Fire Spin: 100 damage, discard 2 Energy cards.",Stage 2 Pokémon,Flame Pokémon,150 HP,N/A,N/A,Popular Fire-type final evolution
Pokémon TCG,Blastoise,"Hydro Pump: 40 damage plus 10 more damage for each Water Energy attached.",Stage 2 Pokémon,Shellfish Pokémon,140 HP,N/A,N/A,Water-type starter final evolution
Pokémon TCG,Venusaur,"Solar Beam: 80 damage, discard 1 Energy.",Stage 2 Pokémon,Seed Pokémon,160 HP,N/A,N/A,Grass-type final evolution
Pokémon TCG,Mewtwo,"Psychic attack: 60 damage. Ability: Pressure forces opponent to discard Energy.",Basic Pokémon,Genetic Pokémon,130 HP,N/A,N/A,Powerful Psychic-type
Pokémon TCG,Eevee,"Tail Whip: No damage. Evolves into multiple forms.",Basic Pokémon,Evolution Pokémon,50 HP,N/A,N/A,Popular evolution base
Pokémon TCG,Gyarados,"Dragon Rage: 120 damage.",Stage 1 Pokémon,Atrocious Pokémon,170 HP,N/A,N/A,Powerful Water-type evolution
Pokémon TCG,Snorlax,"Body Slam: 80 damage, may cause paralysis.",Basic Pokémon,Sleeping Pokémon,130 HP,N/A,N/A,High HP tank
Pokémon TCG,Jigglypuff,"Sing: Opponent’s Active Pokémon is asleep.",Basic Pokémon,Balloon Pokémon,60 HP,N/A,N/A,Status infliction support
Pokémon TCG,Alakazam,"Damage Swap: Move damage counters.",Stage 2 Pokémon,Mentor Pokémon,120 HP,N/A,N/A,Strategic Psychic-type
Pokémon TCG,Magikarp,"Splash: No damage.",Basic Pokémon,Fish Pokémon,30 HP,N/A,N/A,Weak but evolvable
Pokémon TCG,Dragonite,"Hyper Beam: 100 damage, may paralyze.",Stage 2 Pokémon,Dragon Pokémon,160 HP,N/A,N/A,Strong Dragon-type
Pokémon TCG,Scyther,"Slash: 40 damage.",Basic Pokémon,Mantis Pokémon,70 HP,N/A,N/A,Fast attacker
Pokémon TCG,Pidgeot,"Hurricane: 60 damage.",Stage 2 Pokémon,Bird Pokémon,120 HP,N/A,N/A,Flying-type
Pokémon TCG,Onix,"Rock Throw: 30 damage.",Basic Pokémon,Rock Snake Pokémon,90 HP,N/A,N/A,High defense
Pokémon TCG,Poliwrath,"Hypnosis: Puts opponent to sleep.",Stage 2 Pokémon,Tadpole Pokémon,130 HP,N/A,N/A,Water/Fighting dual type
Pokémon TCG,Clefable,"Metronome: Copies opponent’s last attack.",Stage 1 Pokémon,Fairy Pokémon,80 HP,N/A,N/A,Trickster Pokémon
Pokémon TCG,Hitmonchan,"Punch: 50 damage.",Basic Pokémon,Punching Pokémon,70 HP,N/A,N/A,Fighting-type
Pokémon TCG,Electabuzz,"Thunder Punch: 60 damage.",Basic Pokémon,Electric Pokémon,80 HP,N/A,N/A,Electric-type attacker
Pokémon TCG,Arcanine,"Flame Tail: 70 damage.",Stage 1 Pokémon,Legendary Pokémon,120 HP,N/A,N/A,Powerful Fire-type
Pokémon TCG,Dugtrio,"Earthquake: 80 damage.",Stage 1 Pokémon,Mole Pokémon,70 HP,N/A,N/A,Ground-type attacker
Pokémon TCG,Nidoking,"Poison Sting: 30 damage, may poison.",Stage 2 Pokémon,Drill Pokémon,130 HP,N/A,N/A,Poison/Ground dual type
Pokémon TCG,Nidoqueen,"Body Slam: 60 damage, may paralyze.",Stage 2 Pokémon,Drill Pokémon,130 HP,N/A,N/A,Poison/Ground dual type
Pokémon TCG,Chansey,"Egg Bomb: 50 damage.",Basic Pokémon,Egg Pokémon,120 HP,N/A,N/A,Support and healing
Pokémon TCG,Lapras,"Ice Beam: 60 damage, may freeze.",Basic Pokémon,Transport Pokémon,130 HP,N/A,N/A,Water/Ice-type
Pokémon TCG,Mr. Mime,"Barrier: Prevents all damage.",Basic Pokémon,Barrier Pokémon,50 HP,N/A,N/A,Defensive Pokémon
Pokémon TCG,Gengar,"Shadow Punch: 60 damage.",Stage 2 Pokémon,Shadow Pokémon,130 HP,N/A,N/A,Ghost/Poison-type
Pokémon TCG,Slowbro,"Withdraw: Avoids damage.",Stage 1 Pokémon,Hermit Crab Pokémon,110 HP,N/A,N/A,Water/Psychic-type
Pokémon TCG,Farfetch’d,"Stick Attack: 20 damage.",Basic Pokémon,Duck Pokémon,50 HP,N/A,N/A,Classic Pokémon
Pokémon TCG,Crobat,"Cross Poison: 80 damage.",Stage 2 Pokémon,Bat Pokémon,130 HP,N/A,N/A,Poison/Flying-type
Pokémon TCG,Flareon,"Flamethrower: 90 damage.",Stage 1 Pokémon,Flame Pokémon,110 HP,N/A,N/A,Fire-type evolution
Pokémon TCG,Vaporeon,"Water Gun: 40 damage.",Stage 1 Pokémon,Bubble Jet Pokémon,110 HP,N/A,N/A,Water-type evolution
Pokémon TCG,Jolteon,"Thunder Shock: 50 damage.",Stage 1 Pokémon,Lightning Pokémon,110 HP,N/A,N/A,Electric-type evolution
Pokémon TCG,Machamp,"Seismic Toss: 70 damage.",Stage 2 Pokémon,Superpower Pokémon,150 HP,N/A,N/A,Fighting-type
Pokémon TCG,Articuno,"Blizzard: 90 damage.",Basic Pokémon,Freeze Pokémon,130 HP,N/A,N/A,Legendary Ice-type
Pokémon TCG,Zapdos,"Thunderbolt: 100 damage.",Basic Pokémon,Electric Pokémon,130 HP,N/A,N/A,Legendary Electric-type
Pokémon TCG,Moltres,"Flare Blitz: 90 damage.",Basic Pokémon,Flame Pokémon,130 HP,N/A,N/A,Legendary Fire-type
Pokémon TCG,Dragonair,"Dragon Tail: 40 damage.",Stage 1 Pokémon,Dragon Pokémon,90 HP,N/A,N/A,Dragon evolution
Pokémon TCG,Dragonite,"Hyper Beam: 120 damage.",Stage 2 Pokémon,Dragon Pokémon,160 HP,N/A,N/A,Powerful Dragon-type
Pokémon TCG,Snorlax,"Rollout: 100 damage.",Basic Pokémon,Sleeping Pokémon,150 HP,N/A,N/A,High HP attacker
Pokémon TCG,Lugia,"Aeroblast: 120 damage.",Basic Pokémon,Guardian of the Seas,140 HP,N/A,N/A,Legendary Psychic/Flying-type
Pokémon TCG,Ho-Oh,"Sacred Fire: 100 damage.",Basic Pokémon,Rainbow Pokémon,130 HP,N/A,N/A,Legendary Fire/Flying-type
Pokémon TCG,Blaziken,"Fire Punch: 90 damage.",Stage 2 Pokémon,Blaze Pokémon,140 HP,N/A,N/A,Fire/Fighting-type
Pokémon TCG,Sceptile,"Leaf Blade: 80 damage.",Stage 2 Pokémon,Forest Pokémon,130 HP,N/A,N/A,Grass-type
Pokémon TCG,Swampert,"Mud Shot: 90 damage.",Stage 2 Pokémon,Mud Fish Pokémon,140 HP,N/A,N/A,Water/Ground-type
Pokémon TCG,Gardevoir,"Psychic: 90 damage.",Stage 2 Pokémon,Mental Pokémon,130 HP,N/A,N/A,Psychic/Fairy-type
Pokémon TCG,Lucario,"Aura Sphere: 80 damage.",Stage 2 Pokémon,Aura Pokémon,120 HP,N/A,N/A,Fighting/Steel-type
Pokémon TCG,Infernape,"Flare Blitz: 100 damage.",Stage 2 Pokémon,Flame Pokémon,130 HP,N/A,N/A,Fire/Fighting-type
Pokémon TCG,Torterra,"Earthquake: 110 damage.",Stage 2 Pokémon,Turtle Pokémon,150 HP,N/A,N/A,Grass/Ground-type
Pokémon TCG,Garchomp,"Dragon Claw: 120 damage.",Stage 2 Pokémon,Mach Pokémon,150 HP,N/A,N/A,Dragon/Ground-type
Magic: The Gathering,Absolute Virtue,"This spell can't be countered.
Flying
You have protection from each of your opponents. (You can't be dealt damage, enchanted, or targeted by anything controlled by your opponents.)",Legendary Creature — Avatar Warrior,Absolute Virtue,8,"U,W",mythic,
Magic: The Gathering,Adelbert Steiner,"Lifelink
Adelbert Steiner gets +1/+1 for each Equipment you control.",Legendary Creature — Human Knight,Adelbert Steiner,2,W,uncommon,"""Chivalry requires a knight to look after his comrades-in-arms. I will not abandon you!"""
Magic: The Gathering,Adventurer's Airship,"Flying
Whenever this Vehicle attacks, draw a card, then discard a card.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",Artifact — Vehicle,Adventurer's Airship,3,,common,
Magic: The Gathering,Adventurer's Inn,"When this land enters, you gain 2 life.
{T}: Add {C}.",Land — Town,Adventurer's Inn,,,common,"""Welcome! We have rooms for 200 gil a night. Would you like to stay and rest your body and mind?""
—Innkeep"
Magic: The Gathering,Aerith Gainsborough,"Lifelink
Whenever you gain life, put a +1/+1 counter on Aerith Gainsborough.
When Aerith Gainsborough dies, put X +1/+1 counters on each legendary creature you control, where X is the number of +1/+1 counters on Aerith Gainsborough.",Legendary Creature — Human Cleric,Aerith Gainsborough,2,W,rare,
Magic: The Gathering,Aerith Rescue Mission,"Choose one —
• Take the Elevator — Create three 1/1 colorless Hero creature tokens.
• Take 59 Flights of Stairs — Tap up to three target creatures. Put a stun counter on one of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)",Sorcery,Aerith Rescue Mission,,W,common,
Magic: The Gathering,Aettir and Priwen,"Equipped creature has base power and toughness X/X, where X is your life total.
Equip {5}",Legendary Artifact — Equipment,Aettir and Priwen,,,mythic,"""The pinnacle o' perfection, forged from blood, sweat, an' tears!""
—Gerolt Blackthorne"
Magic: The Gathering,Ahriman,"Flying, deathtouch
{3}, Sacrifice another creature or artifact: Draw a card.",Creature — Eye Horror,Ahriman,2,B,common,"""The Wrath of Dark has nearly reached its zenith! No one can stop it! Least of all you!"""
Magic: The Gathering,Airship Crash,"Destroy target artifact, enchantment, or creature with flying.
Cycling {2} ({2}, Discard this card: Draw a card.)",Instant,Airship Crash,,G,common,"""Just our luck to crash in this forest... it's gonna get interesting...""
—Baku, Tantalus leader"
Magic: The Gathering,Al Bhed Salvagers,"Whenever this creature or another creature or artifact you control dies, target opponent loses 1 life and you gain 1 life.",Creature — Human Artificer Warrior,Al Bhed Salvagers,2,B,uncommon,"""We found the airship! The records were right."""
Magic: The Gathering,Ambrosia Whiteheart,"Flash
When Ambrosia Whiteheart enters, you may return another permanent you control to its owner's hand.
Landfall — Whenever a land you control enters, Ambrosia Whiteheart gets +1/+0 until end of turn.",Legendary Creature — Bird,Ambrosia Whiteheart,2,W,uncommon,
Magic: The Gathering,Ancient Adamantoise,"Vigilance, ward {3}
Damage isn't removed from this creature during cleanup steps.
All damage that would be dealt to you and other permanents you control is dealt to this creature instead.
When this creature dies, exile it and create ten tapped Treasure tokens.",Creature — Turtle,Ancient Adamantoise,8,G,mythic,
Magic: The Gathering,"Ardyn, the Usurper","Demons you control have menace, lifelink, and haste.
Starscourge — At the beginning of combat on your turn, exile up to one target creature card from a graveyard. If you exiled a card this way, create a token that's a copy of that card, except it's a 5/5 black Demon.",Legendary Creature — Elder Human Noble,"Ardyn, the Usurper",4,B,rare,
Magic: The Gathering,A Realm Reborn,"Other permanents you control have ""{T}: Add one mana of any color.""",Enchantment,A Realm Reborn,,G,rare,"""The Seventh Astral Era is come!"""
Magic: The Gathering,"Ashe, Princess of Dalmasca","Whenever Ashe attacks, look at the top five cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Legendary Creature — Human Rebel Noble,"Ashe, Princess of Dalmasca",3,W,uncommon,"""I am simply myself. No more and no less. And I want only to be free."""
Magic: The Gathering,Astrologian's Planisphere,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature is a Wizard in addition to its other types and has ""Whenever you cast a noncreature spell and whenever you draw your third card each turn, put a +1/+1 counter on this creature.""
Diana — Equip {2}",Artifact — Equipment,Astrologian's Planisphere,,U,rare,
Magic: The Gathering,Auron's Inspiration,"Attacking creatures get +2/+0 until end of turn.
Flashback {2}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Instant,Auron's Inspiration,,W,uncommon,"""Now is the time to choose! Now is the time to shape your stories! Your fate is in your hands!""
—Auron"
Magic: The Gathering,"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",,Land — Town // Legendary Artifact — Vehicle,"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",,,rare,
Magic: The Gathering,Balamb T-Rexaur,"Trample
When this creature enters, you gain 3 life.
Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)",Creature — Dinosaur,Balamb T-Rexaur,6,G,common,"""Sometimes it's better to run!""
—Quistis Trepe"
Magic: The Gathering,Balthier and Fran,"Reach
Vehicles you control get +1/+1 and have vigilance and reach.
Whenever a Vehicle crewed by Balthier and Fran this turn attacks, if it's the first combat phase of the turn, you may pay {1}{R}{G}. If you do, after this phase, there is an additional combat phase.",Legendary Creature — Human Rabbit,Balthier and Fran,4,"G,R",rare,
Magic: The Gathering,Bard's Bow,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+2, has reach, and is a Bard in addition to its other types.
Perseus's Bow — Equip {6} ({6}: Attach to target creature you control. Equip only as a sorcery.)",Artifact — Equipment,Bard's Bow,,G,common,
Magic: The Gathering,"Baron, Airship Kingdom","This land enters tapped.
{T}: Add {U} or {R}.",Land — Town,"Baron, Airship Kingdom",,,common,"The advent of the airship marked the realization of Baron's dreams, but also the birth of its militarism."
Magic: The Gathering,Barret Wallace,"Reach
Whenever Barret Wallace attacks, it deals damage equal to the number of equipped creatures you control to defending player.",Legendary Creature — Human Rebel,Barret Wallace,4,R,uncommon,"""You gonna stand there and pretend you can't hear the planet crying out in pain?"""
Magic: The Gathering,Bartz and Boko,"Affinity for Birds (This spell costs {1} less to cast for each Bird you control.)
When Bartz and Boko enters, each other Bird you control deals damage equal to its power to target creature an opponent controls.",Legendary Creature — Human Bird,Bartz and Boko,4,G,rare,"""Call me Bartz. Me and my chocobo just go wherever the trail leads us..."""
Magic: The Gathering,Battle Menu,"Choose one —
• Attack — Create a 2/2 white Knight creature token.
• Ability — Target creature gets +0/+4 until end of turn.
• Magic — Destroy target creature with power 4 or greater.
• Item — You gain 4 life.",Instant,Battle Menu,,W,uncommon,
Magic: The Gathering,"Beatrix, Loyal General","Vigilance (Attacking doesn't cause this creature to tap.)
At the beginning of combat on your turn, you may attach any number of Equipment you control to target creature you control.",Legendary Creature — Human Soldier,"Beatrix, Loyal General",4,W,rare,"""I commend your courage, but I will show you no mercy."""
Magic: The Gathering,Black Mage's Rod,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +1/+0, has ""Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent,"" and is a Wizard in addition to its other types.
Equip {3}",Artifact — Equipment,Black Mage's Rod,,B,common,
Magic: The Gathering,Black Waltz No. 3,"Flying, deathtouch
Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.",Legendary Creature — Wizard,Black Waltz No. 3,2,"B,R",uncommon,"""You fool. Do I look like some lowly black mage soldier?"""
Magic: The Gathering,Blazing Bomb,"Whenever you cast a noncreature spell, if at least four mana was spent to cast it, put a +1/+1 counter on this creature.
Blow Up — {T}, Sacrifice this creature: It deals damage equal to its power to target creature. Activate only as a sorcery.",Creature — Elemental,Blazing Bomb,1,R,common,
Magic: The Gathering,Blitzball,"{T}: Add one mana of any color.
GOOOOAAAALLL! — {T}, Sacrifice this artifact: Draw two cards. Activate only if an opponent was dealt combat damage by a legendary creature this turn.",Artifact,Blitzball,,,common,
Magic: The Gathering,Blitzball Shot,Target creature gets +3/+3 and gains trample until end of turn.,Instant,Blitzball Shot,,G,common,"""Everyone seems to be calling for Wakka, folks!""
—Blitzball announcer"
Magic: The Gathering,Buster Sword,"Equipped creature gets +3/+2.
Whenever equipped creature deals combat damage to a player, draw a card, then you may cast a spell from your hand with mana value less than or equal to that damage without paying its mana cost.
Equip {2}",Artifact — Equipment,Buster Sword,,,mythic,
Magic: The Gathering,Cactuar,"Trample
At the beginning of your end step, if this creature didn't enter the battlefield this turn, return it to its owner's hand.",Creature — Plant,Cactuar,3,G,uncommon,A cactus with legs that loves to run hither and thither. Watch out for its thorns!
Magic: The Gathering,Call the Mountain Chocobo,"Search your library for a Mountain card, reveal it, put it into your hand, then shuffle. Create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn.""
Flashback {5}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,Call the Mountain Chocobo,,R,common,
Magic: The Gathering,Capital City,"{T}: Add {C}.
{1}, {T}: Add one mana of any color.
Cycling {2} ({2}, Discard this card: Draw a card.)",Land — Town,Capital City,,,uncommon,A city built upon the Isles of Ark that straddle the continents of Storm and Ash.
Magic: The Gathering,Cargo Ship,"Flying, vigilance
{T}: Add {C}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",Artifact — Vehicle,Cargo Ship,2,U,uncommon,
Magic: The Gathering,"Cecil, Dark Knight // Cecil, Redeemed Paladin",,Legendary Creature — Human Knight // Legendary Creature — Human Knight,"Cecil, Dark Knight // Cecil, Redeemed Paladin",,,rare,
Magic: The Gathering,Chocobo Kick,"Kicker—Return a land you control to its owner's hand. (You may return a land you control to its owner's hand in addition to any other costs as you cast this spell.)
Target creature you control deals damage equal to its power to target creature an opponent controls. If this spell was kicked, the creature you control deals twice that much damage instead.",Sorcery,Chocobo Kick,,G,common,
Magic: The Gathering,Chocobo Racetrack,"Landfall — Whenever a land you control enters, create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn.""",Artifact,Chocobo Racetrack,,G,uncommon,"""No matter how you make your bet, you win some and you lose some. It all comes down to skill and luck.""
—Racing expert"
